Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 256, 25, 4, 256, 25, 4, 256, FRAME, 0, 0, 25600, 25600, 1, 1, 1,,,,,,,,, L2, DMA, 25600, 25600, 2, 51200, 0, 0, ,,,,,,,, DDR, CPU, 400, 400, 256, 103424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 256, 25, 4, 256, 25, 4, 256,  COL, 0, 0, 400, 400, 1, 1, 1,,,,,,,,, L2, DMA, 450, 450, 256, 115328, 0, 0, L2, CPU, 0, 104, 256, 0, 0, 0, MSMC, CPU, 192, 157, 256, 49280, 27, 2600e5, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 256, 25, 4, 512, 25, 4, 256, ROW_L, 54, 64, 93, 157, 1, 8, 8,,,,,,,,, L2, DMA, 192, 192, 256, 49152, 0, 0, ,,,,,,,, MSMC, CPU, 192, 157, 512, 98432, 27, 65, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, c000, MSMC, DMA_ONCE, 2368, 2305, 512, 1212416, 0, 4c0100, 
 3,     Conv, 512, 25, 4, 512, 25, 4, 512, ROW_L, 54, 64, 93, 157, 1, 16, 16,,,,,,,,, L2, DMA, 192, 192, 512, 98304, 0, 0, ,,,,,,,, MSMC, CPU, 192, 157, 512, 98432, 27, 2600e5, ,,,,,,,, L2, DMA, 4672, 4609, 64, 299008, 0, 18000, MSMC, DMA_ONCE, 4672, 4609, 512, 2392064, 0, 278100, 
 4, DataConvert, 512, 25, 4, 512, 25, 4, 512,  COL, 0, 0, 104, 104, 1, 1, 1,,,,,,,,, L2, DMA, 208, 208, 512, 106496, 0, 0, MSMC, CPU, 400, 400, 512, 204800, 0, 0, DDR, DMA, 400, 400, 512, 205824, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 5,     Data, 512, 25, 4, 0, 0, 0, 512, FRAME, 0, 0, 100, 100, 1, 1, 1,,,,,,,,, L2, DMA, 0, 100, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 400, 0, 0, 103424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
