Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 512, 25, 2, 512, 25, 2, 512, FRAME, 0, 0, 12800, 12800, 1, 1, 1,,,,,,,,, L2, DMA, 12800, 12800, 2, 25600, 0, 0, ,,,,,,,, DDR, CPU, 200, 200, 512, 103424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, DataConvert, 512, 25, 2, 512, 25, 2, 512,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 325, 325, 512, 166528, 0, 0, L2, CPU, 0, 50, 512, 0, 0, 0, MSMC, CPU, 50, 50, 512, 25728, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2,     Conv, 512, 25, 2, 512, 24, 1, 512, ROW_L, 0, 0, 50, 50, 1, 8, 8,,,,,,,,, L2, DMA, 50, 50, 512, 25600, 0, 0, ,,,,,,,, MSMC, CPU, 24, 24, 512, 12416, 0, 106680, ,,,,,,,, L2, DMA, 2049, 2049, 128, 262272, 0, 6400, MSMC, DMA_ONCE, 2049, 2049, 512, 1049088, 0, 109700, 
 3,  Reshape, 512, 24, 1, 1, 24, 512, 512,  COL, 0, 0, 24, 24, 1, 1, 1,,,,,,,,, L2, DMA, 24, 24, 512, 12288, 0, 0, ,,,,,,,, MSMC, CPU, 12288, 12288, 1, 12416, 0, 106680, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4, DataConvert, 1, 24, 512, 24, 512, 1, 1,  COL, 0, 0, 12288, 12288, 1, 1, 1,,,,,,,,, L2, DMA, 12360, 12360, 1, 12416, 0, 0, ,,,,,,,, MSMC, CPU, 576, 512, 24, 13952, 0, 6480, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 5, DataConvert, 24, 512, 1, 24, 512, 1, 24,  COL, 0, 0, 512, 512, 1, 1, 1,,,,,,,,, L2, DMA, 1024, 1024, 24, 24576, 0, 0, MSMC, CPU, 2048, 2048, 24, 49152, 0, 9b00, DDR, DMA, 2048, 2048, 24, 50176, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 6,     Data, 24, 512, 1, 24, 512, 1, 24, FRAME, 0, 0, 131072, 131072, 1, 1, 1,,,,,,,,, L2, DMA, 0, 131072, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 200, 2048, 24, 103424, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
