Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 100,     Conv, 192, 20, 20, 192, 20, 20, 192, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 192, 86016, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 192, 110720, 22, 18f2ea, ,,,,,,,, L2, DMA, 320, 193, 192, 61440, 0, 15000, ,,,,,,,, 
 101,     Conv, 192, 20, 20, 192, 20, 20, 192, ROW_L, 44, 64, 192, 463, 3, 1, 3,,,,,,,,, L2, DMA, 448, 448, 192, 86272, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 192, 110720, 22, 17426a, ,,,,,,,, L2, DMA, 1856, 1729, 192, 356352, 0, 15100, MSMC, DMA_ONCE, 1856, 1729, 192, 356352, 0, 757900, 
 102,   Concat, 384, 20, 20, 384, 20, 20, 384,  COL, 0, 0, 420, 420, 2, 1, 2,,,,,,,,, L2, DMA, 588, 588, 384, 225792, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 384, 221312, 22, 18f4aa, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 103,     Conv, 384, 20, 20, 384, 20, 20, 384, ROW_L, 0, 0, 320, 420, 2, 1, 2,,,,,,,,, L2, DMA, 704, 704, 384, 270336, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 384, 221312, 22, 17426a, ,,,,,,,, L2, DMA, 448, 385, 384, 172032, 0, 42000, ,,,,,,,, 
 104,     Conv, 384, 20, 20, 384, 10, 10, 384, ROW_L, 22, 22, 84, 442, 5, 40, 40,,,,,,,,, L2, DMA, 192, 192, 384, 73984, 0, 0, ,,,,,,,, MSMC, CPU, 192, 101, 384, 73856, 0, e4100, ,,,,,,,, L2, DMA, 3520, 3457, 96, 337920, 0, 12100, MSMC, DMA, 3520, 3457, 384, 1351680, 0, 1aa280, 
 105,   Concat, 768, 10, 10, 768, 10, 10, 768,  COL, 0, 0, 110, 110, 2, 1, 2,,,,,,,,, L2, DMA, 198, 198, 768, 152064, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 768, 147584, 12, 1aa2f4, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 106,     Conv, 768, 10, 10, 256, 10, 10, 768, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 768, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 256, 49280, 12, d20f4, ,,,,,,,, L2, DMA, 832, 769, 256, 212992, 0, 24000, ,,,,,,,, 
 107,     Conv, 768, 10, 10, 256, 10, 10, 768, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 768, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 256, 49280, 12, de174, ,,,,,,,, L2, DMA, 832, 769, 256, 212992, 0, 24000, ,,,,,,,, 
 108,     Conv, 256, 10, 10, 256, 10, 10, 256, ROW_L, 0, 0, 110, 110, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49152, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 256, 49280, 12, de174, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, c000, ,,,,,,,, 
 109,     Conv, 256, 10, 10, 256, 10, 10, 256, ROW_L, 24, 64, 69, 133, 1, 4, 4,,,,,,,,, L2, DMA, 192, 192, 256, 49152, 0, 0, ,,,,,,,, MSMC, CPU, 192, 133, 256, 49280, 12, ea1f4, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, c000, MSMC, DMA, 2368, 2305, 256, 606208, 0, 1aa280, 
 110,   Concat, 512, 10, 10, 512, 10, 10, 512,  COL, 0, 0, 110, 110, 2, 1, 2,,,,,,,,, L2, DMA, 198, 198, 512, 101376, 0, 0, ,,,,,,,, MSMC, CPU, 192, 100, 512, 98432, 0, 1aa280, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 111,     Conv, 512, 10, 10, 512, 10, 10, 512, ROW_L, 0, 0, 100, 100, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 512, 98304, 0, 0, ,,,,,,,, MSMC, CPU, 192, 100, 512, 98432, 0, d2080, ,,,,,,,, L2, DMA, 576, 513, 512, 294912, 0, 18000, ,,,,,,,, 
 112,     Conv, 512, 10, 10, 18, 10, 10, 512, ROW_L, 0, 0, 100, 100, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 512, 98304, 0, 0, ,,,,,,,, MSMC, CPU, 192, 100, 18, 3584, 0, d2080, ,,,,,,,, L2, DMA, 576, 513, 18, 10368, 0, 18000, ,,,,,,,, 
 115,     Conv, 128, 80, 80, 18, 80, 80, 128, ROW_L, 0, 0, 1664, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 3392, 3392, 128, 437504, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 18, 121088, 82, 2e, ,,,,,,,, L2, DMA, 192, 129, 18, 3456, 0, 6ad00, ,,,,,,,, 
 114,     Conv, 256, 40, 40, 18, 40, 40, 256, ROW_L, 0, 0, 832, 1640, 2, 1, 2,,,,,,,,, L2, DMA, 1728, 1728, 256, 442368, 0, 0, ,,,,,,,, MSMC, CPU, 1728, 1723, 18, 31232, 42, 1d956, ,,,,,,,, L2, DMA, 320, 257, 18, 5760, 0, 6c000, ,,,,,,,, 
 113,     Conv, 384, 20, 20, 18, 20, 20, 384, ROW_L, 0, 0, 420, 420, 1, 1, 1,,,,,,,,, L2, DMA, 448, 448, 384, 172032, 0, 0, ,,,,,,,, MSMC, CPU, 576, 463, 18, 10496, 22, 2536a, ,,,,,,,, L2, DMA, 448, 385, 18, 8064, 0, 2a000, ,,,,,,,, 
 116, DetectionOutput, 18, 80, 80, 1, 2105, 1, 18,  COL, 0, 0, 6480, 6480, 1, 1, 1,,,,,,,,, L2, DMA, 6723, 6723, 18, 121088, 0, 0, ,,,,,,,, MSMC, CPU, 8512, 8420, 1, 8704, 0, 27c00, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 117, ODOutputReformat, 1, 2105, 300, 1, 6, 300, 1,  COL, 0, 0, 210500, 631500, 3, 1, 3,,,,,,,,, L2, DMA, 421000, 421000, 1, 421120, 0, 0, MSMC, CPU, 7200, 421000, 1, 7296, 0, 0, DDR, DMA, 7200, 7200, 1, 8320, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 118,     Data, 1, 6, 300, 0, 0, 0, 1, FRAME, 0, 0, 1800, 1800, 1, 1, 1,,,,,,,,, L2, DMA, 8512, 1800, 1, 8704, 0, ffffffff, ,,,,,,,, DDR, CPU, 1638400, 0, 0, 4916224, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
