Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 13,     Conv, 144, 320, 176, 144, 160, 88, 1,  COL, 0, 0, 57139, 57139, 48, 1, 48,,,,,,,,, L2, DMA, 57138, 57138, 6, 342912, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 144, 2092160, 162, 5e, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 53b80, ,,,,,,,, 
 14,     Conv, 144, 160, 88, 32, 160, 88, 144, ROW_L, 0, 0, 1472, 14168, 10, 1, 10,,,,,,,,, L2, DMA, 3008, 3008, 144, 444928, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 32, 465024, 162, 5e, ,,,,,,,, L2, DMA, 192, 145, 32, 6144, 0, 6ca00, ,,,,,,,, 
 15,     Conv, 32, 160, 88, 192, 160, 88, 32, ROW_L, 0, 0, 6848, 14168, 3, 1, 3,,,,,,,,, L2, DMA, 13760, 13760, 32, 447104, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 192, 2789504, 162, 718de, ,,,,,,,, L2, DMA, 33, 33, 192, 6400, 0, 6d280, ,,,,,,,, 
 16,     Conv, 192, 160, 88, 192, 160, 88, 1,  COL, 0, 0, 14491, 14491, 16, 1, 16,,,,,,,,, L2, DMA, 14490, 14490, 24, 347776, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 192, 2789504, 162, 718de, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 54e80, ,,,,,,,, 
 17,     Conv, 192, 160, 88, 32, 160, 88, 192, ROW_L, 0, 0, 1088, 14168, 14, 1, 14,,,,,,,,, L2, DMA, 2240, 2240, 192, 443136, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 32, 465024, 162, 718de, ,,,,,,,, L2, DMA, 320, 193, 32, 10240, 0, 6c300, ,,,,,,,, 
 18,  EltWise, 64, 160, 88, 32, 160, 88, 64,  COL, 0, 0, 14168, 14168, 8, 1, 8,,,,,,,,, L2, DMA, 14651, 14651, 8, 234496, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 32, 465024, 162, 5e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 19,     Conv, 32, 160, 88, 192, 160, 88, 32, ROW_L, 0, 0, 6848, 14168, 3, 1, 3,,,,,,,,, L2, DMA, 13760, 13760, 32, 447104, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 192, 2789504, 162, 718de, ,,,,,,,, L2, DMA, 33, 33, 192, 6400, 0, 6d280, ,,,,,,,, 
 20,     Conv, 192, 160, 88, 192, 160, 88, 1,  COL, 0, 0, 14491, 14491, 16, 1, 16,,,,,,,,, L2, DMA, 14490, 14490, 24, 347776, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 192, 2789504, 162, 718de, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 54e80, ,,,,,,,, 
 21,     Conv, 192, 160, 88, 32, 160, 88, 192, ROW_L, 0, 0, 1088, 14168, 14, 1, 14,,,,,,,,, L2, DMA, 2240, 2240, 192, 443136, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 32, 465024, 162, 718de, ,,,,,,,, L2, DMA, 320, 193, 32, 10240, 0, 6c300, ,,,,,,,, 
 22,  EltWise, 64, 160, 88, 32, 160, 88, 64,  COL, 0, 0, 14168, 14168, 8, 1, 8,,,,,,,,, L2, DMA, 14651, 14651, 8, 234496, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 32, 465024, 162, 1c60de, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 23,     Conv, 32, 160, 88, 192, 160, 88, 32, ROW_L, 0, 0, 6848, 14168, 3, 1, 3,,,,,,,,, L2, DMA, 13760, 13760, 32, 447104, 0, 0, ,,,,,,,, MSMC, CPU, 14528, 14491, 192, 2789504, 162, 4cbf5e, ,,,,,,,, L2, DMA, 33, 33, 192, 6400, 0, 6d280, ,,,,,,,, 
