Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0,     Data, 4, 320, 176, 4, 320, 176, 4, FRAME, 0, 0, 14417920, 14417920, 1, 1, 1,,,,,,,,, DDR, DMA, 225280, 14417920, 2, 902144, 0, 0, ,,,,,,,, DDR, CPU, 225280, 225280, 4, 902144, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2, DataConvert, 4, 320, 176, 4, 320, 176, 4,  COL, 0, 0, 225280, 225280, 4, 1, 4,,,,,,,,, L2, DMA, 225600, 225600, 2, 451328, 0, 0, L2, CPU, 0, 56320, 4, 0, 0, 0, MSMC, CPU, 56384, 56320, 4, 225664, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1,     Data, 4, 320, 176, 1, 320, 176, 4, FRAME, 0, 0, 14417920, 14417920, 1, 1, 1,,,,,,,,, DDR, DMA, 225280, 14417920, 2, 902144, 0, 0, ,,,,,,,, DDR, CPU, 225280, 225280, 1, 226304, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 3, DataConvert, 1, 320, 176, 1, 320, 176, 1,  COL, 0, 0, 225280, 225280, 1, 1, 1,,,,,,,,, L2, DMA, 225600, 225600, 1, 225664, 0, 0, L2, CPU, 0, 56320, 1, 0, 0, 0, MSMC, CPU, 56384, 56320, 1, 56576, 0, 37180, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4,   Concat, 5, 320, 176, 5, 320, 176, 5,  COL, 0, 0, 56320, 56320, 5, 1, 5,,,,,,,,, L2, DMA, 56640, 56640, 2, 113280, 0, 0, ,,,,,,,, MSMC, CPU, 56384, 56320, 5, 282112, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 5, DataConvert, 5, 320, 176, 5, 320, 176, 5,  COL, 0, 0, 56320, 56320, 5, 1, 5,,,,,,,,, L2, DMA, 56640, 56640, 2, 113280, 0, 0, MSMC, CPU, 225280, 225280, 5, 450560, 0, 44e00, DDR, DMA, 225280, 225280, 5, 1127424, 0, 0, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 6,     Data, 5, 320, 176, 0, 0, 0, 5, FRAME, 0, 0, 56320, 56320, 1, 1, 1,,,,,,,,, L2, DMA, 0, 56320, 2, 0, 0, 0, ,,,,,,,, DDR, CPU, 225280, 0, 0, 902144, 0, 0, ,,,,,,,, L2, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
