Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 72,   Concat, 512, 28, 28, 512, 28, 28, 512,  COL, 0, 0, 812, 812, 4, 1, 4,,,,,,,,, L2, DMA, 986, 986, 256, 252416, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 512, 491648, 30, 1122e2, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 73,     Conv, 512, 28, 28, 128, 28, 28, 512, ROW_L, 0, 0, 320, 812, 3, 1, 3,,,,,,,,, L2, DMA, 704, 704, 512, 360704, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, 6a0e2, ,,,,,,,, L2, DMA, 576, 513, 128, 73728, 0, 58100, ,,,,,,,, 
 74,     Conv, 512, 28, 28, 128, 28, 28, 512, ROW_L, 0, 0, 320, 812, 3, 1, 3,,,,,,,,, L2, DMA, 704, 704, 512, 360704, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, d6262, ,,,,,,,, L2, DMA, 576, 513, 128, 73728, 0, 58100, ,,,,,,,, 
 75,     Conv, 128, 28, 28, 128, 28, 28, 128, ROW_L, 0, 0, 812, 812, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106496, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, d6262, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 1a000, ,,,,,,,, 
 76,     Conv, 128, 28, 28, 128, 28, 28, 128, ROW_L, 60, 64, 807, 871, 1, 1, 1,,,,,,,,, L2, DMA, 960, 960, 128, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, d6262, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 1e000, ,,,,,,,, 
 77,   Concat, 256, 28, 28, 256, 28, 28, 256,  COL, 0, 0, 812, 812, 2, 1, 2,,,,,,,,, L2, DMA, 986, 986, 256, 252416, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 256, 245888, 30, f42e2, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 78,     Conv, 256, 28, 28, 256, 28, 28, 256, ROW_L, 0, 0, 640, 812, 2, 1, 2,,,,,,,,, L2, DMA, 1344, 1344, 256, 344064, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 256, 245888, 30, 6a0e2, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 54000, ,,,,,,,, 
 79,     Conv, 256, 28, 28, 128, 28, 28, 256, ROW_L, 0, 0, 812, 812, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 256, 212992, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, 6a0e2, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 34000, ,,,,,,,, 
 80,   Resize, 128, 28, 28, 128, 56, 56, 128,  COL, 0, 0, 871, 871, 1, 1, 1,,,,,,,,, L2, DMA, 986, 986, 128, 126208, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 128, 434304, 58, d6246, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 81,   Concat, 256, 56, 56, 256, 56, 56, 256,  COL, 0, 0, 3192, 3192, 4, 1, 4,,,,,,,,, L2, DMA, 3420, 3420, 128, 437760, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 256, 868480, 58, 1402c6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 82,     Conv, 256, 56, 56, 64, 56, 56, 256, ROW_L, 0, 0, 768, 3192, 5, 1, 5,,,,,,,,, L2, DMA, 1600, 1600, 256, 411904, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 64, 217216, 58, 46, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 64900, ,,,,,,,, 
 83,     Conv, 256, 56, 56, 64, 56, 56, 256, ROW_L, 0, 0, 768, 3192, 5, 1, 5,,,,,,,,, L2, DMA, 1600, 1600, 256, 411904, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 64, 217216, 58, d6246, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 64900, ,,,,,,,, 
 84,     Conv, 64, 56, 56, 64, 56, 56, 64, ROW_L, 0, 0, 3192, 3192, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 64, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 64, 217216, 58, d6246, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 33000, ,,,,,,,, 
 85,     Conv, 64, 56, 56, 64, 56, 56, 64, ROW_L, 116, 128, 3072, 3307, 2, 1, 2,,,,,,,,, L2, DMA, 6336, 6336, 64, 405504, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 64, 217216, 58, d6246, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 63000, ,,,,,,,, 
 86,   Concat, 128, 56, 56, 128, 56, 56, 128,  COL, 0, 0, 3192, 3192, 2, 1, 2,,,,,,,,, L2, DMA, 3420, 3420, 128, 437760, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 128, 434304, 58, 10b2c6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 87,     Conv, 128, 56, 56, 128, 56, 56, 128, ROW_L, 0, 0, 1600, 3192, 2, 1, 2,,,,,,,,, L2, DMA, 3264, 3264, 128, 417792, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3307, 128, 434304, 58, 46, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 66000, ,,,,,,,, 
 88,     Conv, 128, 56, 56, 128, 28, 28, 128, ROW_L, 58, 58, 1026, 3250, 4, 1, 4,,,,,,,,, L2, DMA, 2112, 2112, 128, 272512, 0, 0, ,,,,,,,, MSMC, CPU, 832, 785, 128, 106624, 0, 88100, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 42880, ,,,,,,,, 
 89,   Concat, 256, 28, 28, 256, 28, 28, 256,  COL, 0, 0, 812, 812, 2, 1, 2,,,,,,,,, L2, DMA, 986, 986, 256, 252416, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 256, 245888, 30, d6262, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 90,     Conv, 256, 28, 28, 128, 28, 28, 256, ROW_L, 0, 0, 812, 812, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 256, 212992, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, 6a0e2, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 34000, ,,,,,,,, 
 91,     Conv, 256, 28, 28, 128, 28, 28, 256, ROW_L, 0, 0, 812, 812, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 256, 212992, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, d6262, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 34000, ,,,,,,,, 
 92,     Conv, 128, 28, 28, 128, 28, 28, 128, ROW_L, 0, 0, 812, 812, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106496, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, d6262, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 1a000, ,,,,,,,, 
 93,     Conv, 128, 28, 28, 128, 28, 28, 128, ROW_L, 60, 64, 807, 871, 1, 1, 1,,,,,,,,, L2, DMA, 960, 960, 128, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 128, 123008, 30, d6262, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 1e000, ,,,,,,,, 
 94,   Concat, 256, 28, 28, 256, 28, 28, 256,  COL, 0, 0, 812, 812, 2, 1, 2,,,,,,,,, L2, DMA, 986, 986, 256, 252416, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 256, 245888, 30, f42e2, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 95,     Conv, 256, 28, 28, 256, 28, 28, 256, ROW_L, 0, 0, 640, 812, 2, 1, 2,,,,,,,,, L2, DMA, 1344, 1344, 256, 344064, 0, 0, ,,,,,,,, MSMC, CPU, 960, 871, 256, 245888, 30, 6a0e2, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 54000, ,,,,,,,, 
 96,     Conv, 256, 28, 28, 256, 14, 14, 256, ROW_L, 30, 30, 232, 842, 4, 16, 16,,,,,,,,, L2, DMA, 576, 576, 256, 147840, 0, 0, ,,,,,,,, MSMC, CPU, 320, 197, 256, 82048, 0, 16a200, ,,,,,,,, L2, DMA, 2368, 2305, 128, 303104, 0, 24180, MSMC, DMA_ONCE, 2368, 2305, 256, 606208, 0, 674200, 
 97,   Concat, 512, 14, 14, 512, 14, 14, 512,  COL, 0, 0, 210, 210, 2, 1, 2,,,,,,,,, L2, DMA, 330, 330, 512, 168960, 0, 0, ,,,,,,,, MSMC, CPU, 320, 241, 512, 163968, 16, d6270, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
